app,keybinding,function
linux,Ctrl + z,Pause process & send to background,Type 'bg' to run
linux,Ctrl + Alt + C/V,Paste into terminal
linux,echo $SHELL,Which shell
linux,free -h,Show ram status
linux,Ctrl + w,Delete word
linux,lscpu,Shows cpu info
linux,acpi -bi,Shows battery info
linux,lsb_release -a,Distro version (Ubuntu)
linux,uname -sr,Kernel version
linux,apt-get distro-upgrade,Update distro
linux,nm-applet,Network manager gui for wifi
linux,chmod +x $filename,Add execution to $filename
